,vis_sats,min_sat_vis
0,['GPS BIII-2  (PRN 18)'],2022-08-29 17:32:00
1,['GPS BIII-2  (PRN 18)'],2022-08-29 17:33:00
2,['GSAT0101 (PRN E11)'],2022-08-29 17:36:00
3,['GSAT0101 (PRN E11)'],2022-08-29 17:37:00
4,['GSAT0101 (PRN E11)'],2022-08-29 17:38:00
5,['COSMOS 2545 (760)'],2022-08-29 18:28:00
6,['COSMOS 2545 (760)'],2022-08-29 18:29:00
7,['COSMOS 2545 (760)'],2022-08-29 18:30:00
8,['GPS BIIF-11 (PRN 10)'],2022-08-29 20:12:00
9,['GPS BIIF-11 (PRN 10)'],2022-08-29 20:13:00
10,['COSMOS 2485 (747)'],2022-08-29 21:01:00
11,['COSMOS 2485 (747)'],2022-08-29 21:02:00
12,['BEIDOU-3 M6 (C22)'],2022-08-29 21:38:00
13,['BEIDOU-3 M6 (C22)'],2022-08-29 21:39:00
14,['BEIDOU-3 M20'],2022-08-29 23:56:00
15,['BEIDOU-3 M20'],2022-08-29 23:57:00
16,['GSAT0212 (PRN E03)'],2022-08-30 01:58:00
17,['COSMOS 2527 (756)'],2022-08-30 02:21:00
18,['COSMOS 2527 (756)'],2022-08-30 02:22:00
19,['GPS BIII-1  (PRN 04)'],2022-08-30 02:25:00
20,['COSMOS 2464 (736)'],2022-08-30 05:07:00
21,['GPS BIIRM-6 (PRN 07)'],2022-08-30 05:28:00
22,['BEIDOU-3 M9 (C23)'],2022-08-30 07:09:00
23,['GSAT0206 (PRN E30)'],2022-08-30 07:29:00
24,['GPS BIII-4  (PRN 14)'],2022-08-30 07:53:00
25,['COSMOS 2516 (753)'],2022-08-30 10:05:00
26,['COSMOS 2516 (753)'],2022-08-30 10:06:00
27,['GSAT0217 (PRN E27)'],2022-08-30 10:17:00
28,['BEIDOU-3 M8 (C30)'],2022-08-30 14:34:00
29,['BEIDOU-3 M8 (C30)'],2022-08-30 14:35:00
30,['GSAT0203 (PRN E26)'],2022-08-30 15:59:00
